,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,User Name,User ID,Tweet,Image URL,Location,Cleaned_Tweet,scores,label
13723,15106,144,144,2022-11-28 17:41:37+00:00,MGSNHQ,1448848739356061727,"MGSN features Bloomberg report that buyers need six-figure income to buy a ""typical"" home in the US. How does a middle class survive in the US where #studentdebt is unprecedented and #wagestagnation ruled the days of #economicgrowth",https://pbs.twimg.com/profile_images/1580826940604301312/kICbhev3_normal.jpg,United States,mgsn features bloomberg report buyers need six figure income buy typical home us middle class survive us unprecedented ruled days,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13724,15107,145,145,2022-11-28 16:55:00+00:00,CluteWealthMgmt,3406399037,"Tackling your remaining #StudentDebt starts with understanding who exactly you are paying back, and it's not always who you borrowed it from #FinancialLiteracy #CollegePlanning https://t.co/n0dsLtGbXu by @NerdWallet",https://pbs.twimg.com/profile_images/629450148079218693/uak1bn4d_normal.png,United States,tackling remaining starts understanding exactly paying back always borrowed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13725,15108,146,146,2022-11-28 15:00:53+00:00,Spark_EDUn,1013935635864965120,"Article: Student loan payments may not resume until August. Here's what borrowers need to know 

https://t.co/vx0Oqa6OOD

#sparkeduniversity #studentborrowers #studentloans #studentdebt",https://pbs.twimg.com/profile_images/1057308742633566211/keEOsfHp_normal.jpg,United States,article student loan payments may resume august heres borrowers need know,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13732,15115,153,153,2022-11-27 18:28:03+00:00,Copperflowers,392997630,"Florida teacher who thought #studentdebt was paid 20 years ago gets nearly $1M bill from UF
https://t.co/pPSyQ6DuDr",https://pbs.twimg.com/profile_images/1468328610473779201/t4Czx8mH_normal.jpg,United States,florida teacher thought paid years ago gets nearly bill uf,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13738,15121,159,159,2022-11-27 06:14:29+00:00,ShelLeader1,907158594,Who is PAYING?? #karinejeanpierre #studentdebt #studentloanforgiveness #... https://t.co/xh2LTHidZ3 via @YouTube  Current Joe Biden Press Secretary,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,United States,paying via current joe biden press secretary,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13739,15122,160,160,2022-11-27 04:00:51+00:00,burchette_r,1519508321568321537,Who is PAYING?? #karinejeanpierre #studentdebt #studentloanforgiveness #... https://t.co/YHgMpvaE1I via @YouTube,https://pbs.twimg.com/profile_images/1520138057524989952/IDtnNjrt_normal.jpg,United States,paying via,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13740,15123,161,161,2022-11-26 23:39:06+00:00,SymeMike1957,1563327894201733120,"Money Memo: There are two kinds of Tweets begging for cash. #MutualAidRequests from people asking for life, and #Democrats asking for a six-figure sinecure plus #HealthCare. Donating to @TheDemocrats gets #StudentDebt, #MedicalBankruptcy and #WWIII
#ImpeachBiden #WarCrimes https://t.co/ZOYJsQD63d",https://pbs.twimg.com/profile_images/1563333241016201217/kcqSBGH5_normal.jpg,United States,money memo two kinds tweets begging cash people asking life asking six figure sinecure plus donating gets,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13747,15131,169,169,2022-11-25 16:55:01+00:00,genemarks,16082893,"Yesterday I appeared on @FoxNews to talk about the potential #railstrike ahead of the #holidayseason and President Biden's #studentdebt extension. 

https://t.co/nP93HsnaGv",https://pbs.twimg.com/profile_images/1296525355067609090/KMt_pgEG_normal.jpg,United States,yesterday appeared talk potential ahead president bidens extension,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13766,15151,189,189,2022-11-23 21:01:05+00:00,Sooka_Dooka,1583462247614935040,"@DebtCrisisOrg Because, ya know, Covid. #Fraud #Waste #Abuse #Biden #JoeBiden #Debt #StudentDebt",https://pbs.twimg.com/profile_images/1591797777650094082/Z2S5GaLr_normal.jpg,United States,ya know covid,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13778,15164,202,202,2022-11-23 15:10:01+00:00,THexplains,177829660,"Explained | What is the latest revision? What is the status of the application? What do voters say? Why is #studentdebt so high?
https://t.co/4nBfNA9mz9",https://pbs.twimg.com/profile_images/912624789243621376/h3N_-FSZ_normal.jpg,United States,explained latest revision status application voters say high,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13781,15167,205,205,2022-11-23 14:34:23+00:00,ink7,82239743,"⁦@SabbySabs2⁩ educating us on how erasing #StudentDebt was set up2 fail.

I don’t agree W/Jimmy dore on a lot, but if you listen to this &amp; some other interviews you’ll see why #MSM strongly dislikes his show &amp; why others appreciate it sometimes. https://t.co/DTYPTAt8P5",https://pbs.twimg.com/profile_images/1445834499917557760/d2H_p8Ky_normal.jpg,United States,educating us erasing set fail agree w jimmy dore lot listen interviews see strongly dislikes show others appreciate sometimes,"{'neg': 0.234, 'neu': 0.491, 'pos': 0.275, 'compound': 0.0258}",Neutral
13809,15195,233,233,2022-11-22 20:53:32+00:00,terraynemyricks,21460723,Student loan pause extended! https://t.co/WnrkqaFwxV #StudentLoanForgiveness #Studentdebt #CancelStudentDebtNow,https://pbs.twimg.com/profile_images/1458161952887291905/Pl6uqdL9_normal.jpg,United States,student loan pause extended,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
